size,algo,threads,seconds,GF/s,TF/s,AI,RoofGF/s,RoofTF/s
32,ijk,1,0.000193,0.340279,0.000340,2.000000,320.000000,0.320000
32,jik,1,0.000191,0.343101,0.000343,2.000000,320.000000,0.320000
32,kij,1,0.000201,0.325920,0.000326,2.000000,320.000000,0.320000
32,blocked,1,0.000193,0.339714,0.000340,2.000000,320.000000,0.320000
32,omp_ijk,1,0.000210,0.312752,0.000313,2.000000,320.000000,0.320000
32,omp_ijk,2,0.000311,0.210849,0.000211,2.000000,320.000000,0.320000
32,omp_ijk,4,0.000236,0.278220,0.000278,2.000000,320.000000,0.320000
32,omp_ijk,8,0.000197,0.333277,0.000333,2.000000,320.000000,0.320000
64,ijk,1,0.001592,0.329348,0.000329,4.000000,640.000000,0.640000
64,jik,1,0.001556,0.336920,0.000337,4.000000,640.000000,0.640000
64,kij,1,0.001531,0.342409,0.000342,4.000000,640.000000,0.640000
64,blocked,1,0.001558,0.336573,0.000337,4.000000,640.000000,0.640000
64,omp_ijk,1,0.001538,0.340833,0.000341,4.000000,640.000000,0.640000
64,omp_ijk,2,0.000798,0.657334,0.000657,4.000000,640.000000,0.640000
64,omp_ijk,4,0.000483,1.084800,0.001085,4.000000,640.000000,0.640000
64,omp_ijk,8,0.000356,1.473535,0.001474,4.000000,640.000000,0.640000
128,ijk,1,0.012412,0.337921,0.000338,8.000000,1000.000000,1.000000
128,jik,1,0.012147,0.345303,0.000345,8.000000,1000.000000,1.000000
128,kij,1,0.012134,0.345670,0.000346,8.000000,1000.000000,1.000000
128,blocked,1,0.012264,0.342007,0.000342,8.000000,1000.000000,1.000000
128,omp_ijk,1,0.012351,0.339603,0.000340,8.000000,1000.000000,1.000000
128,omp_ijk,2,0.006245,0.671656,0.000672,8.000000,1000.000000,1.000000
128,omp_ijk,4,0.003195,1.312604,0.001313,8.000000,1000.000000,1.000000
128,omp_ijk,8,0.001754,2.391478,0.002391,8.000000,1000.000000,1.000000
256,ijk,1,0.087803,0.382156,0.000382,16.000000,1000.000000,1.000000
256,jik,1,0.081089,0.413798,0.000414,16.000000,1000.000000,1.000000
256,kij,1,0.080774,0.415413,0.000415,16.000000,1000.000000,1.000000
256,blocked,1,0.083671,0.401030,0.000401,16.000000,1000.000000,1.000000
256,omp_ijk,1,0.083113,0.403720,0.000404,16.000000,1000.000000,1.000000
256,omp_ijk,2,0.046152,0.727042,0.000727,16.000000,1000.000000,1.000000
256,omp_ijk,4,0.021141,1.587153,0.001587,16.000000,1000.000000,1.000000
256,omp_ijk,8,0.013538,2.478502,0.002479,16.000000,1000.000000,1.000000
512,ijk,1,0.701243,0.382799,0.000383,32.000000,1000.000000,1.000000
512,jik,1,0.679538,0.395027,0.000395,32.000000,1000.000000,1.000000
512,kij,1,0.645086,0.416124,0.000416,32.000000,1000.000000,1.000000
512,blocked,1,0.683745,0.392596,0.000393,32.000000,1000.000000,1.000000
512,omp_ijk,1,0.699173,0.383933,0.000384,32.000000,1000.000000,1.000000
512,omp_ijk,2,0.353497,0.759370,0.000759,32.000000,1000.000000,1.000000
512,omp_ijk,4,0.175687,1.527920,0.001528,32.000000,1000.000000,1.000000
512,omp_ijk,8,0.106434,2.522078,0.002522,32.000000,1000.000000,1.000000
1024,ijk,1,6.185722,0.347168,0.000347,64.000000,1000.000000,1.000000
1024,jik,1,6.198747,0.346438,0.000346,64.000000,1000.000000,1.000000
1024,kij,1,5.256529,0.408536,0.000409,64.000000,1000.000000,1.000000
1024,blocked,1,6.224786,0.344989,0.000345,64.000000,1000.000000,1.000000
1024,omp_ijk,1,6.245128,0.343865,0.000344,64.000000,1000.000000,1.000000
1024,omp_ijk,2,3.152019,0.681304,0.000681,64.000000,1000.000000,1.000000
1024,omp_ijk,4,1.585487,1.354463,0.001354,64.000000,1000.000000,1.000000
1024,omp_ijk,8,0.946469,2.268943,0.002269,64.000000,1000.000000,1.000000
1536,ijk,1,19.885572,0.364473,0.000364,96.000000,1000.000000,1.000000
1536,jik,1,19.945588,0.363376,0.000363,96.000000,1000.000000,1.000000
1536,kij,1,17.503515,0.414074,0.000414,96.000000,1000.000000,1.000000
1536,blocked,1,20.463199,0.354185,0.000354,96.000000,1000.000000,1.000000
1536,omp_ijk,1,19.650416,0.368835,0.000369,96.000000,1000.000000,1.000000
1536,omp_ijk,2,9.927499,0.730069,0.000730,96.000000,1000.000000,1.000000
1536,omp_ijk,4,5.055298,1.433695,0.001434,96.000000,1000.000000,1.000000
1536,omp_ijk,8,2.941880,2.463649,0.002464,96.000000,1000.000000,1.000000
2048,ijk,1,52.360492,0.328107,0.000328,128.000000,1000.000000,1.000000
2048,jik,1,49.398633,0.347780,0.000348,128.000000,1000.000000,1.000000
2048,kij,1,41.958824,0.409446,0.000409,128.000000,1000.000000,1.000000
2048,blocked,1,51.079302,0.336337,0.000336,128.000000,1000.000000,1.000000
2048,omp_ijk,1,51.947803,0.330714,0.000331,128.000000,1000.000000,1.000000
2048,omp_ijk,2,26.128924,0.657504,0.000658,128.000000,1000.000000,1.000000
2048,omp_ijk,4,15.078069,1.139395,0.001139,128.000000,1000.000000,1.000000
2048,omp_ijk,8,7.955807,2.159412,0.002159,128.000000,1000.000000,1.000000
