size,algo,threads,seconds,GF/s,TF/s,AI,RoofGF/s,RoofTF/s
32,ijk,1,0.000017,3.748556,0.003749,2.000000,320.000000,0.320000
32,jik,1,0.000017,3.829827,0.003830,2.000000,320.000000,0.320000
32,kij,1,0.000013,5.070876,0.005071,2.000000,320.000000,0.320000
32,blocked,1,0.000017,3.829603,0.003830,2.000000,320.000000,0.320000
32,omp_ijk,1,0.000078,0.845124,0.000845,2.000000,320.000000,0.320000
32,omp_ijk,2,0.000265,0.247061,0.000247,2.000000,320.000000,0.320000
32,omp_ijk,4,0.000166,0.394477,0.000394,2.000000,320.000000,0.320000
32,omp_ijk,8,0.000200,0.326979,0.000327,2.000000,320.000000,0.320000
64,ijk,1,0.000169,3.101378,0.003101,4.000000,640.000000,0.640000
64,jik,1,0.000174,3.019101,0.003019,4.000000,640.000000,0.640000
64,kij,1,0.000109,4.828810,0.004829,4.000000,640.000000,0.640000
64,blocked,1,0.000174,3.016478,0.003016,4.000000,640.000000,0.640000
64,omp_ijk,1,0.000173,3.037819,0.003038,4.000000,640.000000,0.640000
64,omp_ijk,2,0.000119,4.414536,0.004415,4.000000,640.000000,0.640000
64,omp_ijk,4,0.000147,3.564694,0.003565,4.000000,640.000000,0.640000
64,omp_ijk,8,0.000169,3.101213,0.003101,4.000000,640.000000,0.640000
128,ijk,1,0.002839,1.477485,0.001477,8.000000,1000.000000,1.000000
128,jik,1,0.002982,1.406391,0.001406,8.000000,1000.000000,1.000000
128,kij,1,0.000725,5.783005,0.005783,8.000000,1000.000000,1.000000
128,blocked,1,0.002805,1.495477,0.001495,8.000000,1000.000000,1.000000
128,omp_ijk,1,0.002791,1.502605,0.001503,8.000000,1000.000000,1.000000
128,omp_ijk,2,0.001630,2.573619,0.002574,8.000000,1000.000000,1.000000
128,omp_ijk,4,0.000804,5.215888,0.005216,8.000000,1000.000000,1.000000
128,omp_ijk,8,0.000538,7.799221,0.007799,8.000000,1000.000000,1.000000
256,ijk,1,0.033000,1.016794,0.001017,16.000000,1000.000000,1.000000
256,jik,1,0.029656,1.131465,0.001131,16.000000,1000.000000,1.000000
256,kij,1,0.005111,6.565721,0.006566,16.000000,1000.000000,1.000000
256,blocked,1,0.028588,1.173737,0.001174,16.000000,1000.000000,1.000000
256,omp_ijk,1,0.027168,1.235078,0.001235,16.000000,1000.000000,1.000000
256,omp_ijk,2,0.017002,1.973599,0.001974,16.000000,1000.000000,1.000000
256,omp_ijk,4,0.008493,3.950713,0.003951,16.000000,1000.000000,1.000000
256,omp_ijk,8,0.004477,7.495067,0.007495,16.000000,1000.000000,1.000000
512,ijk,1,0.430823,0.623075,0.000623,32.000000,1000.000000,1.000000
512,jik,1,0.441413,0.608128,0.000608,32.000000,1000.000000,1.000000
512,kij,1,0.039286,6.832862,0.006833,32.000000,1000.000000,1.000000
512,blocked,1,0.400031,0.671037,0.000671,32.000000,1000.000000,1.000000
512,omp_ijk,1,0.409369,0.655730,0.000656,32.000000,1000.000000,1.000000
512,omp_ijk,2,0.209434,1.281721,0.001282,32.000000,1000.000000,1.000000
512,omp_ijk,4,0.130187,2.061923,0.002062,32.000000,1000.000000,1.000000
512,omp_ijk,8,0.065870,4.075261,0.004075,32.000000,1000.000000,1.000000
1024,ijk,1,6.361615,0.337569,0.000338,64.000000,1000.000000,1.000000
1024,jik,1,6.565512,0.327085,0.000327,64.000000,1000.000000,1.000000
1024,kij,1,0.317588,6.761863,0.006762,64.000000,1000.000000,1.000000
1024,blocked,1,5.232942,0.410378,0.000410,64.000000,1000.000000,1.000000
1024,omp_ijk,1,6.320011,0.339791,0.000340,64.000000,1000.000000,1.000000
1024,omp_ijk,2,3.257888,0.659164,0.000659,64.000000,1000.000000,1.000000
1024,omp_ijk,4,1.827985,1.174782,0.001175,64.000000,1000.000000,1.000000
1024,omp_ijk,8,0.944658,2.273293,0.002273,64.000000,1000.000000,1.000000
1536,ijk,1,19.056864,0.380323,0.000380,96.000000,1000.000000,1.000000
1536,jik,1,21.263649,0.340852,0.000341,96.000000,1000.000000,1.000000
1536,kij,1,1.075240,6.740593,0.006741,96.000000,1000.000000,1.000000
1536,blocked,1,10.572428,0.685534,0.000686,96.000000,1000.000000,1.000000
1536,omp_ijk,1,18.950239,0.382463,0.000382,96.000000,1000.000000,1.000000
1536,omp_ijk,2,9.686989,0.748195,0.000748,96.000000,1000.000000,1.000000
1536,omp_ijk,4,5.399898,1.342203,0.001342,96.000000,1000.000000,1.000000
1536,omp_ijk,8,2.813387,2.576168,0.002576,96.000000,1000.000000,1.000000
2048,ijk,1,120.759227,0.142265,0.000142,128.000000,1000.000000,1.000000
2048,jik,1,118.218342,0.145323,0.000145,128.000000,1000.000000,1.000000
2048,kij,1,3.068469,5.598840,0.005599,128.000000,1000.000000,1.000000
2048,blocked,1,106.736499,0.160956,0.000161,128.000000,1000.000000,1.000000
2048,omp_ijk,1,123.542742,0.139060,0.000139,128.000000,1000.000000,1.000000
2048,omp_ijk,2,62.223056,0.276101,0.000276,128.000000,1000.000000,1.000000
2048,omp_ijk,4,32.107708,0.535070,0.000535,128.000000,1000.000000,1.000000
2048,omp_ijk,8,18.341824,0.936650,0.000937,128.000000,1000.000000,1.000000
