size,algo,threads,seconds,GF/s,TF/s,AI,RoofGF/s,RoofTF/s
32,ijk,1,0.000017,3.759307,0.003759,2.000000,320.000000,0.320000
32,jik,1,0.000017,3.796547,0.003797,2.000000,320.000000,0.320000
32,kij,1,0.000014,4.603540,0.004604,2.000000,320.000000,0.320000
32,blocked,1,0.000020,3.242912,0.003243,2.000000,320.000000,0.320000
32,omp_ijk,1,0.000018,3.729358,0.003729,2.000000,320.000000,0.320000
64,ijk,1,0.000174,3.012474,0.003012,4.000000,640.000000,0.640000
64,jik,1,0.000181,2.895611,0.002896,4.000000,640.000000,0.640000
64,kij,1,0.000093,5.614745,0.005615,4.000000,640.000000,0.640000
64,blocked,1,0.000173,3.025530,0.003026,4.000000,640.000000,0.640000
64,omp_ijk,1,0.000180,2.915481,0.002915,4.000000,640.000000,0.640000
128,ijk,1,0.002733,1.534777,0.001535,8.000000,1000.000000,1.000000
128,jik,1,0.002480,1.691268,0.001691,8.000000,1000.000000,1.000000
128,kij,1,0.000612,6.856743,0.006857,8.000000,1000.000000,1.000000
128,blocked,1,0.002379,1.763265,0.001763,8.000000,1000.000000,1.000000
128,omp_ijk,1,0.002739,1.531503,0.001532,8.000000,1000.000000,1.000000
256,ijk,1,0.027906,1.202409,0.001202,16.000000,1000.000000,1.000000
256,jik,1,0.028062,1.195729,0.001196,16.000000,1000.000000,1.000000
256,kij,1,0.005062,6.629133,0.006629,16.000000,1000.000000,1.000000
256,blocked,1,0.029284,1.145811,0.001146,16.000000,1000.000000,1.000000
256,omp_ijk,1,0.028086,1.194724,0.001195,16.000000,1000.000000,1.000000
512,ijk,1,0.420303,0.638671,0.000639,32.000000,1000.000000,1.000000
512,jik,1,0.448755,0.598178,0.000598,32.000000,1000.000000,1.000000
512,kij,1,0.040708,6.594206,0.006594,32.000000,1000.000000,1.000000
512,blocked,1,0.391008,0.686521,0.000687,32.000000,1000.000000,1.000000
512,omp_ijk,1,0.412445,0.650839,0.000651,32.000000,1000.000000,1.000000
1024,ijk,1,6.694299,0.320793,0.000321,64.000000,1000.000000,1.000000
1024,jik,1,6.714006,0.319851,0.000320,64.000000,1000.000000,1.000000
1024,kij,1,0.311016,6.904740,0.006905,64.000000,1000.000000,1.000000
1024,blocked,1,5.817132,0.369165,0.000369,64.000000,1000.000000,1.000000
1024,omp_ijk,1,6.695203,0.320750,0.000321,64.000000,1000.000000,1.000000
1536,ijk,1,22.217611,0.326217,0.000326,96.000000,1000.000000,1.000000
1536,jik,1,22.563983,0.321209,0.000321,96.000000,1000.000000,1.000000
1536,kij,1,1.047627,6.918263,0.006918,96.000000,1000.000000,1.000000
1536,blocked,1,10.670778,0.679215,0.000679,96.000000,1000.000000,1.000000
1536,omp_ijk,1,21.863098,0.331506,0.000332,96.000000,1000.000000,1.000000
2048,ijk,1,115.467593,0.148785,0.000149,128.000000,1000.000000,1.000000
2048,jik,1,122.252396,0.140528,0.000141,128.000000,1000.000000,1.000000
2048,kij,1,3.136543,5.477325,0.005477,128.000000,1000.000000,1.000000
2048,blocked,1,115.159016,0.149184,0.000149,128.000000,1000.000000,1.000000
2048,omp_ijk,1,119.036575,0.144324,0.000144,128.000000,1000.000000,1.000000
